DATE,TOTALSA
2010-01-01,10.893
2010-02-01,10.315
2010-03-01,11.772
2010-04-01,11.454
2010-05-01,12.03
2010-06-01,11.598
2010-07-01,11.948
2010-08-01,12.014
2010-09-01,11.922
2010-10-01,12.414
2010-11-01,12.3
2010-12-01,12.605
2011-01-01,12.806
2011-02-01,13.081
2011-03-01,13.259
2011-04-01,13.326
2011-05-01,12.28
2011-06-01,11.886
2011-07-01,12.72
2011-08-01,12.604
2011-09-01,13.356
2011-10-01,13.73
2011-11-01,13.743
2011-12-01,13.798
2012-01-01,14.395
2012-02-01,14.975
2012-03-01,14.594
2012-04-01,14.769
2012-05-01,14.496
2012-06-01,14.467
2012-07-01,14.38
2012-08-01,14.444
2012-09-01,15.099
2012-10-01,14.83
2012-11-01,15.456
2012-12-01,15.462
2013-01-01,15.813
2013-02-01,15.861
2013-03-01,15.721
2013-04-01,15.811
2013-05-01,15.884
2013-06-01,16.149
2013-07-01,16.021
2013-08-01,15.827
2013-09-01,15.857
2013-10-01,15.727
2013-11-01,16.079
2013-12-01,15.835
2014-01-01,15.614
2014-02-01,15.993
2014-03-01,16.985
2014-04-01,16.695
2014-05-01,17.137
2014-06-01,17.516
2014-07-01,17.277
2014-08-01,17.239
2014-09-01,16.959
2014-10-01,16.756
2014-11-01,16.949
2014-12-01,17.178
2015-01-01,16.904
2015-02-01,16.886
2015-03-01,17.885
2015-04-01,17.675
2015-05-01,17.932
2015-06-01,17.869
2015-07-01,18.293
2015-08-01,18.396
2015-09-01,18.259
2015-10-01,18.257
2015-11-01,18.308
2015-12-01,17.48
2016-01-01,18.064
2016-02-01,18.022
2016-03-01,17.394
2016-04-01,17.693
2016-05-01,17.698
2016-06-01,17.736
2016-07-01,18.057
2016-08-01,17.875
2016-09-01,17.944
2016-10-01,17.94
2016-11-01,17.757
2016-12-01,18.218
2017-01-01,17.638
2017-02-01,17.776
2017-03-01,17.127
2017-04-01,17.285
2017-05-01,17.184
2017-06-01,17.184
2017-07-01,17.167
2017-08-01,17.014
2017-09-01,18.324
2017-10-01,18.321
2017-11-01,17.878
2017-12-01,17.714
2018-01-01,17.536
2018-02-01,17.557
2018-03-01,17.706
2018-04-01,17.794
2018-05-01,17.709
2018-06-01,17.65
2018-07-01,17.398
2018-08-01,17.314
2018-09-01,17.801
2018-10-01,18.142
2018-11-01,17.844
2018-12-01,17.949
2019-01-01,17.305
2019-02-01,17.098
2019-03-01,17.83
2019-04-01,17.156
2019-05-01,17.862
2019-06-01,17.741
2019-07-01,17.527
2019-08-01,17.6
2019-09-01,17.643
2019-10-01,17.273
2019-11-01,17.437
2019-12-01,17.289
2020-01-01,17.311
2020-02-01,17.214
2020-03-01,11.748
2020-04-01,9.059
2020-05-01,12.407
2020-06-01,13.352
2020-07-01,14.95
2020-08-01,15.555
2020-09-01,16.726
2020-10-01,16.674
