类别：所有类别

日,tesla: (美国)
2020-08-29,49
2020-08-30,45
2020-08-31,100
2020-09-01,90
2020-09-02,77
2020-09-03,75
2020-09-04,77
2020-09-05,49
2020-09-06,40
2020-09-07,42
2020-09-08,79
2020-09-09,74
2020-09-10,57
2020-09-11,53
2020-09-12,40
2020-09-13,36
2020-09-14,52
2020-09-15,57
2020-09-16,52
2020-09-17,47
2020-09-18,49
2020-09-19,38
2020-09-20,37
2020-09-21,59
2020-09-22,99
2020-09-23,88
2020-09-24,64
2020-09-25,52
2020-09-26,42
2020-09-27,41
2020-09-28,49
2020-09-29,48
2020-09-30,44
2020-10-01,48
2020-10-02,51
2020-10-03,39
2020-10-04,35
2020-10-05,44
2020-10-06,43
2020-10-07,40
2020-10-08,40
2020-10-09,41
2020-10-10,33
2020-10-11,32
2020-10-12,40
2020-10-13,39
2020-10-14,44
2020-10-15,54
2020-10-16,47
2020-10-17,38
2020-10-18,35
2020-10-19,43
2020-10-20,43
2020-10-21,58
2020-10-22,51
2020-10-23,44
2020-10-24,36
2020-10-25,31
2020-10-26,40
2020-10-27,36
2020-10-28,37
2020-10-29,36
2020-10-30,38
2020-10-31,32
2020-11-01,26
2020-11-02,35
2020-11-03,35
2020-11-04,21
2020-11-05,25
2020-11-06,35
2020-11-07,28
2020-11-08,28
2020-11-09,40
2020-11-10,35
2020-11-11,35
2020-11-12,32
2020-11-13,35
2020-11-14,30
2020-11-15,28
2020-11-16,42
2020-11-17,63
2020-11-18,52
2020-11-19,51
2020-11-20,46
2020-11-21,32
2020-11-22,30
2020-11-23,44
2020-11-24,57
2020-11-25,58
2020-11-26,38
